date,mine,nps_score,first_name,last_name,customer_observations
02-01-2024,GOLD FIELDS GHANA,8,CYNTHIA,CARREON,"WE'RE CURRENTLY TRIALING THE GROUND MOVEMENT DETECTOR, LASER, SEISMIC SENSOR WHICH INCLUDES PREDICTIVE ANALYTICS. THE REMOTE DIAGNOSTICS, MAINTENANCE SERVICE HAS BEEN RELIABLE. ITÂ€™S MADE A NOTICEABLE DIFFERENCE IN OUR OPERATIONS."
02-01-2024,MELIADINE MINE SITE (AGNICO-EAGLE),8,KIMBERLY,KEITUMETSE,"WE GOT THE LASER, GROUND MOVEMENT DETECTOR, RADAR, SEISMIC SENSOR WHICH INCLUDES DATA VISUALIZATION DASHBOARD. WE'RE PLEASED WITH THE MAINTENANCE SERVICE, ONSITE INSTALLATION, REMOTE DIAGNOSTICS, 24/7 MONITORING HAS BEEN RELIABLE. WE'RE QUITE CHUFFED WITH HOW EVERYTHINGÂ€™S WORKED SO FAR."
02-01-2024,VALE AGUA LIMPA,10,ROBERT,CRAIG,"WE'RE CURRENTLY TRIALING THE LASER, SEISMIC SENSOR, RADAR, GROUND MOVEMENT DETECTOR DELIVERING DATA VISUALIZATION DASHBOARD, PREDICTIVE ANALYTICS. WE'RE PLEASED WITH THE ONSITE INSTALLATION, REMOTE DIAGNOSTICS, 24/7 MONITORING HAS BEEN RELIABLE. WE'RE QUITE CHUFFED WITH HOW EVERYTHINGÂ€™S WORKED SO FAR."
03-01-2024,GOLD FIELDS GHANA,6,TIMOTHY,CARDENAS,"WE'VE INSTALLED SEISMIC SENSOR, RADAR, GROUND MOVEMENT DETECTOR PROVIDING REAL-TIME ALERTS, DATA VISUALIZATION DASHBOARD, PREDICTIVE ANALYTICS. THE MAINTENANCE SERVICE, REMOTE DIAGNOSTICS, SUPPORT DESK, 24/7 MONITORING, ONSITE INSTALLATION HAS BEEN RELIABLE. ITÂ€™S MADE A NOTICEABLE DIFFERENCE IN OUR OPERATIONS."
03-01-2024,PT PAMAPERSADA NUSANTARA (PAMA),8,WILLIAM,MALESA,"WE'VE INSTALLED LASER, RADAR DELIVERING DATA VISUALIZATION DASHBOARD, PREDICTIVE ANALYTICS, REAL-TIME ALERTS. WE'RE PLEASED WITH THE SUPPORT DESK, MAINTENANCE SERVICE, ONSITE INSTALLATION, 24/7 MONITORING HAS BEEN RELIABLE. THIS HAS REALLY IMPROVED OUR CONFIDENCE IN SLOPE STABILITY."
04-01-2024,ASANKO GOLD INC,9,NANCY,STEFANO,"THE TEAM DEPLOYED GROUND MOVEMENT DETECTOR, RADAR PROVIDING REAL-TIME ALERTS, DATA VISUALIZATION DASHBOARD. SUPPORT FROM THE MAINTENANCE SERVICE, ONSITE INSTALLATION, SUPPORT DESK HAS BEEN RELIABLE. THIS HAS REALLY IMPROVED OUR CONFIDENCE IN SLOPE STABILITY."
05-01-2024,EL SOLDADO,8,KRISTI,VELASQUEZ,"OUR SITE RELIES ON THE SEISMIC SENSOR, LASER, RADAR, GROUND MOVEMENT DETECTOR FEATURING PREDICTIVE ANALYTICS, DATA VISUALIZATION DASHBOARD, REAL-TIME ALERTS. APPRECIATE THE ONSITE INSTALLATION, REMOTE DIAGNOSTICS, MAINTENANCE SERVICE, 24/7 MONITORING, SUPPORT DESK HAS BEEN RELIABLE. THEREÂ€™S BEEN A MARKED IMPROVEMENT IN SITE SAFETY."
05-01-2024,GERDAU S/A - VARZEA DO LOPES,8,KYLE,ESCOBAR BALLESTEROS,"WE'RE CURRENTLY TRIALING THE LASER, SEISMIC SENSOR, GROUND MOVEMENT DETECTOR, RADAR DELIVERING DATA VISUALIZATION DASHBOARD, REAL-TIME ALERTS. WE'RE PLEASED WITH THE 24/7 MONITORING, SUPPORT DESK, REMOTE DIAGNOSTICS, MAINTENANCE SERVICE HAS BEEN RELIABLE. WE'RE QUITE CHUFFED WITH HOW EVERYTHINGÂ€™S WORKED SO FAR."
07-01-2024,GRASBERG GOLD MINE,10,DIANE,MARTINS,"THE TEAM DEPLOYED SEISMIC SENSOR, RADAR, LASER FEATURING PREDICTIVE ANALYTICS. THEIR MAINTENANCE SERVICE, SUPPORT DESK, 24/7 MONITORING, REMOTE DIAGNOSTICS, ONSITE INSTALLATION HAS BEEN RELIABLE. LA TECNOLOGÃ­A HA AYUDADO MUCHO CON LA SEGURIDAD DE LA MINA."
07-01-2024,QUEBEC IRON ORE (BLOOM LAKE),10,PATRICIA,CARREON,"WE'RE CURRENTLY TRIALING THE GROUND MOVEMENT DETECTOR, RADAR, SEISMIC SENSOR THAT COMES WITH PREDICTIVE ANALYTICS, DATA VISUALIZATION DASHBOARD. WE'RE PLEASED WITH THE MAINTENANCE SERVICE, 24/7 MONITORING, REMOTE DIAGNOSTICS, SUPPORT DESK HAS BEEN RELIABLE. BLOODY BRILLIANT SUPPORT, IF I MAY SAY SO."
